episode,mean_reward
1257,-126.85
1258,-126.83
1259,-127.44
1260,-127.29
1261,-131.27
1262,-130.92
1263,-130.83
1264,-130.91
1265,-130.97
1266,-130.84
1267,-131.14
1268,-131.04
1269,-131.73
1270,-131.53
1271,-130.87
1272,-130.56
1273,-130.49
1274,-130.39
1275,-131.98
1276,-131.75
1277,-131.41
1278,-131.36
1279,-131.22
1280,-131.57
1281,-132.24
1282,-132.11
1283,-132.46
1284,-133.17
1285,-133.28
1286,-133.95
1287,-133.58
1288,-135.1
1289,-135.09
1290,-135.33
1291,-135.08
1292,-135.51
1293,-135.13
1294,-135.15
1295,-135.34
1296,-135.66
1297,-136.5
1298,-136.02
1299,-136.11
1300,-136.26
1301,-136.03
1302,-136.72
1303,-137.18
1304,-137.55
1305,-138.04
1306,-138.1
1307,-138.21
1308,-138.32
1309,-138.58
1310,-138.18
1311,-138.26
1312,-138.13
1313,-138.54
1314,-138.81
1315,-138.45
1316,-138.2
1317,-138.51
1318,-138.76
1319,-138.95
1320,-138.31
1321,-139.12
1322,-139.05
1323,-139.34
1324,-139.1
1325,-139.39
1326,-139.95
1327,-140.61
1328,-140.03
1329,-140.89
1330,-141.46
1331,-142.22
1332,-142.17
1333,-142.3
1334,-142.48
1335,-143.23
1336,-143.33
1337,-143.51
1338,-144.85
1339,-144.93
1340,-144.37
1341,-144.41
1342,-145.23
1343,-145.37
1344,-145.16
1345,-145.33
1346,-146.0
1347,-146.58
1348,-146.77
1349,-146.76
1350,-147.11
1351,-146.63
1352,-146.81
1353,-146.83
1354,-146.94
1355,-147.02
1356,-147.22
1357,-147.21
1358,-147.02
1359,-146.71
1360,-148.03
1361,-144.31
1362,-144.84
1363,-145.04
1364,-144.61
1365,-144.25
1366,-144.61
1367,-145.69
1368,-145.46
1369,-145.23
1370,-145.39
1371,-145.51
1372,-145.39
1373,-146.26
1374,-146.42
1375,-145.56
1376,-146.26
1377,-147.09
1378,-148.02
1379,-148.1
1380,-148.36
1381,-147.9
1382,-148.38
1383,-148.49
1384,-150.24
1385,-150.45
1386,-150.1
1387,-151.25
1388,-149.88
1389,-150.56
1390,-150.86
1391,-150.7
1392,-150.34
1393,-150.97
1394,-151.48
1395,-151.97
1396,-152.07
1397,-152.09
1398,-153.48
1399,-154.26
1400,-154.3
1401,-153.81
1402,-154.18
1403,-153.68
1404,-154.15
1405,-154.17
1406,-154.53
1407,-154.62
1408,-154.91
1409,-155.64
1410,-155.78
1411,-155.67
1412,-155.33
1413,-155.32
1414,-155.29
1415,-156.1
1416,-155.88
1417,-155.58
1418,-155.48
1419,-155.97
1420,-156.65
1421,-156.3
1422,-156.04
1423,-155.39
1424,-155.68
1425,-155.22
1426,-154.65
1427,-154.34
1428,-155.27
1429,-154.63
1430,-154.66
1431,-154.94
1432,-155.52
1433,-155.37
1434,-155.41
1435,-154.8
1436,-155.12
1437,-154.65
1438,-154.74
1439,-154.97
1440,-154.98
1441,-155.24
1442,-155.33
1443,-155.06
1444,-155.19
1445,-154.53
1446,-153.91
1447,-153.4
1448,-153.14
1449,-153.43
1450,-152.74
1451,-152.97
1452,-152.76
1453,-152.79
1454,-152.67
1455,-153.6
1456,-154.07
1457,-154.23
1458,-153.84
1459,-153.97
1460,-153.14
1461,-153.28
1462,-152.93
1463,-152.55
1464,-152.84
1465,-153.14
1466,-153.62
1467,-152.69
1468,-153.87
1469,-154.12
1470,-154.1
1471,-154.82
1472,-155.23
1473,-154.44
1474,-154.58
1475,-153.67
1476,-155.12
1477,-153.97
1478,-153.46
1479,-153.35
1480,-153.29
1481,-153.57
1482,-154.2
1483,-153.8
1484,-151.44
1485,-151.43
1486,-151.66
1487,-150.88
1488,-150.8
1489,-149.78
1490,-149.01
1491,-149.04
1492,-148.8
1493,-148.98
1494,-148.09
1495,-147.87
1496,-147.83
1497,-148.03
1498,-147.05
1499,-146.44
1500,-146.97
1501,-147.1
1502,-146.4
1503,-147.03
1504,-146.24
1505,-145.75
1506,-145.58
1507,-146.05
1508,-145.74
1509,-145.25
1510,-145.15
1511,-144.72
1512,-145.78
1513,-145.96
1514,-146.08
1515,-145.33
1516,-146.43
1517,-146.34
1518,-146.3
1519,-145.79
1520,-145.4
1521,-145.22
1522,-145.63
1523,-145.79
1524,-146.36
1525,-146.66
1526,-147.51
1527,-148.33
1528,-147.3
1529,-147.85
1530,-146.87
1531,-146.52
1532,-145.79
1533,-145.58
1534,-145.23
1535,-145.26
1536,-144.87
1537,-144.93
1538,-143.59
1539,-143.23
1540,-143.21
1541,-144.08
1542,-143.58
1543,-143.73
1544,-143.77
1545,-144.27
1546,-144.33
1547,-143.74
1548,-143.8
1549,-143.08
1550,-143.31
1551,-143.56
1552,-144.21
1553,-143.84
1554,-143.76
1555,-142.87
1556,-142.54
1557,-142.83
1558,-143.16
1559,-143.26
1560,-143.66
1561,-143.82
1562,-144.22
1563,-144.18
1564,-144.12
1565,-144.35
1566,-143.77
1567,-143.69
1568,-142.68
1569,-142.26
1570,-142.0
1571,-142.22
1572,-142.28
1573,-142.33
1574,-141.97
1575,-143.35
1576,-141.02
1577,-141.49
1578,-141.46
1579,-141.71
1580,-142.69
1581,-143.02
1582,-142.57
1583,-142.58
1584,-142.66
1585,-143.04
1586,-143.09
1587,-143.81
1588,-143.87
1589,-144.15
1590,-144.05
1591,-144.46
1592,-145.2
1593,-144.53
1594,-145.62
1595,-145.02
1596,-144.86
1597,-144.2
1598,-144.15
1599,-144.21
1600,-143.85
1601,-144.1
1602,-144.44
1603,-144.19
1604,-144.59
1605,-144.53
1606,-144.22
1607,-143.58
1608,-143.45
1609,-143.9
1610,-144.07
1611,-144.48
1612,-143.89
1613,-143.69
1614,-143.69
1615,-143.69
1616,-142.76
1617,-143.55
1618,-144.45
1619,-144.61
1620,-144.88
1621,-145.57
1622,-145.45
1623,-146.52
1624,-146.27
1625,-146.86
1626,-146.84
1627,-146.54
1628,-146.94
1629,-145.98
1630,-147.3
1631,-147.15
1632,-147.79
1633,-148.0
1634,-148.49
1635,-148.66
1636,-147.9
1637,-148.55
1638,-148.6
1639,-149.05
1640,-148.98
1641,-148.29
1642,-148.52
1643,-148.38
1644,-148.6
1645,-150.61
1646,-150.33
1647,-150.57
1648,-151.65
1649,-152.55
1650,-152.42
1651,-152.37
1652,-151.83
1653,-152.65
1654,-153.83
1655,-153.9
1656,-154.05
1657,-154.25
1658,-154.45
1659,-154.8
1660,-154.47
1661,-154.1
1662,-154.05
1663,-154.74
1664,-155.47
1665,-155.36
1666,-155.49
1667,-157.34
1668,-157.99
1669,-158.4
1670,-159.02
1671,-158.39
1672,-158.6
1673,-160.46
1674,-161.1
1675,-160.11
1676,-160.66
1677,-163.41
1678,-163.11
1679,-164.74
1680,-163.63
1681,-163.98
1682,-164.91
1683,-165.61
1684,-165.95
1685,-165.32
1686,-166.06
1687,-165.74
1688,-165.82
1689,-166.54
